           ﻿nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";278911;"NUSA TENGGARA TIMUR"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";321481;"KALIMANTAN BARAT"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";328127;"KALIMANTAN TENGAH"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";302854;"KALIMANTAN SELATAN"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";405108;"KALIMANTAN TIMUR"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";423796;"KALIMANTAN UTARA"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";265096;"SULAWESI UTARA"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";313190;"SULAWESI TENGAH"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";229289;"SULAWESI SELATAN"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";226889;"SULAWESI TENGGARA"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";245508;GORONTALO
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";249788;"SULAWESI BARAT"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";348099;MALUKU
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";323639;"MALUKU UTARA"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";398435;"PAPUA BARAT"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";374752;PAPUA
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";294806;INDONESIA
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2017;"Semester 1 (Maret)";330958.33;ACEH
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2017;"Semester 1 (Maret)";314243.1;"SUMATERA UTARA"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2017;"Semester 1 (Maret)";346896.34;"SUMATERA BARAT"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2017;"Semester 1 (Maret)";335922.13;RIAU
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2017;"Semester 1 (Maret)";301576.33;JAMBI
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2017;"Semester 1 (Maret)";279284.44;"SUMATERA SELATAN"
